episode,reward,length,moving_avg_reward,epsilon,success,cumulative_reward,reward_variance,length_variance,best_10_avg_reward,replay_buffer_fullness
1,36.0,36,36.0,0.995,0,36.0,0.0,0.0,36.0,0.00072
2,28.0,28,32.0,0.990025,0,64.0,16.0,16.0,32.0,0.00128
3,15.0,15,26.333333333333332,0.985074875,0,79.0,74.8888888888889,74.8888888888889,26.333333333333332,0.00158
4,12.0,12,22.75,0.9801495006250001,0,91.0,94.6875,94.6875,22.75,0.00182
5,54.0,54,29.0,0.9752487531218751,0,145.0,232.0,232.0,29.0,0.0029
6,28.0,28,28.833333333333332,0.9703725093562657,0,173.0,193.4722222222222,193.4722222222222,28.833333333333332,0.00346
7,12.0,12,26.428571428571427,0.9655206468094844,0,185.0,200.53061224489792,200.53061224489792,26.428571428571427,0.0037
8,23.0,23,26.0,0.960693043575437,0,208.0,176.75,176.75,26.0,0.00416
9,21.0,21,25.444444444444443,0.9558895783575597,0,229.0,159.58024691358025,159.58024691358025,25.444444444444443,0.00458
10,29.0,29,25.8,0.9511101304657719,0,258.0,144.76000000000002,144.76000000000002,25.8,0.00516
11,18.0,18,25.09090909090909,0.946354579813443,0,276.0,136.6280991735537,136.6280991735537,25.8,0.00552
12,15.0,15,24.25,0.9416228069143757,0,291.0,133.02083333333334,133.02083333333334,25.8,0.00582
13,13.0,13,23.384615384615383,0.9369146928798039,0,304.0,131.77514792899407,131.77514792899407,25.8,0.00608
14,32.0,32,24.0,0.9322301194154049,0,336.0,127.28571428571429,127.28571428571429,25.8,0.00672
15,24.0,24,24.0,0.9275689688183278,0,360.0,118.8,118.8,25.8,0.0072
16,16.0,16,23.5,0.9229311239742362,0,376.0,115.125,115.125,25.8,0.00752
17,41.0,41,24.529411764705884,0.918316468354365,0,417.0,125.30795847750863,125.30795847750863,25.8,0.00834
18,13.0,13,23.88888888888889,0.9137248860125932,0,430.0,125.32098765432099,125.32098765432099,25.8,0.0086
19,33.0,33,24.36842105263158,0.9091562615825302,0,463.0,122.86426592797783,122.86426592797783,25.8,0.00926
20,15.0,15,23.9,0.9046104802746175,0,478.0,120.89000000000001,120.89000000000001,25.8,0.00956
21,25.0,25,23.952380952380953,0.9000874278732445,0,503.0,115.18820861678006,115.18820861678006,25.8,0.01006
22,25.0,25,24.0,0.8955869907338783,0,528.0,110.0,110.0,25.8,0.01056
23,13.0,13,23.52173913043478,0.8911090557802088,0,541.0,110.24952741020792,110.24952741020792,25.8,0.01082
24,54.0,54,24.791666666666668,0.8866535105013078,0,595.0,142.74826388888889,142.74826388888889,25.9,0.0119
25,18.0,18,24.52,0.8822202429488013,0,613.0,138.80960000000002,138.80960000000002,25.9,0.01226
26,35.0,35,24.923076923076923,0.8778091417340573,0,648.0,137.53254437869825,137.53254437869825,27.2,0.01296
27,27.0,27,25.0,0.8734200960253871,0,675.0,132.59259259259258,132.59259259259258,27.2,0.0135
28,11.0,11,24.5,0.8690529955452602,0,686.0,134.60714285714286,134.60714285714286,27.2,0.01372
29,24.0,24,24.482758620689655,0.8647077305675338,0,710.0,129.97384066587398,129.97384066587398,27.2,0.0142
30,59.0,59,25.633333333333333,0.8603841919146962,0,769.0,164.0322222222222,164.0322222222222,29.1,0.01538
31,17.0,17,25.35483870967742,0.8560822709551227,0,786.0,161.06763787721127,161.06763787721127,29.1,0.01572
32,19.0,19,25.15625,0.851801859600347,0,805.0,157.2568359375,157.2568359375,29.1,0.0161
33,43.0,43,25.696969696969695,0.8475428503023453,0,848.0,161.8475665748393,161.8475665748393,30.7,0.01696
34,18.0,18,25.470588235294116,0.8433051360508336,0,866.0,158.77854671280278,158.77854671280278,30.7,0.01732
35,12.0,12,25.085714285714285,0.8390886103705794,0,878.0,159.27836734693875,159.27836734693875,30.7,0.01756
36,26.0,26,25.11111111111111,0.8348931673187264,0,904.0,154.87654320987653,154.87654320987653,30.7,0.01808
37,18.0,18,24.91891891891892,0.8307187014821328,0,922.0,152.0204528853178,152.0204528853178,30.7,0.01844
38,15.0,15,24.657894736842106,0.8265651079747222,0,937.0,150.54085872576178,150.54085872576178,30.7,0.01874
39,21.0,21,24.564102564102566,0.8224322824348486,0,958.0,147.0151216305062,147.0151216305062,30.7,0.01916
40,17.0,17,24.375,0.8183201210226743,0,975.0,144.734375,144.734375,30.7,0.0195
41,26.0,26,24.414634146341463,0.8142285204175609,0,1001.0,141.2671029149316,141.2671029149316,30.7,0.02002
42,66.0,66,25.404761904761905,0.810157377815473,0,1067.0,178.0980725623583,178.0980725623583,30.7,0.02134
43,31.0,31,25.53488372093023,0.8061065909263957,0,1098.0,174.66738777717683,174.66738777717683,30.7,0.02196
44,104.0,104,27.318181818181817,0.8020760579717637,0,1202.0,307.4442148760331,307.4442148760331,33.6,0.02404
45,27.0,27,27.31111111111111,0.798065677681905,0,1229.0,300.61432098765437,300.61432098765437,35.1,0.02458
46,18.0,18,27.108695652173914,0.7940753492934954,0,1247.0,295.92296786389414,295.92296786389414,35.1,0.02494
47,42.0,42,27.425531914893618,0.7901049725470279,0,1289.0,294.24445450430056,294.24445450430056,36.7,0.02578
48,28.0,28,27.4375,0.7861544476842928,0,1317.0,288.12109375,288.12109375,38.0,0.02634
49,17.0,17,27.224489795918366,0.7822236754458713,0,1334.0,284.41899208663057,284.41899208663057,38.0,0.02668
50,19.0,19,27.06,0.778312557068642,0,1353.0,280.0564,280.0564,38.0,0.02706
51,76.0,76,27.86,0.7744209942832988,0,1429.0,320.6074586697424,320.6074586697424,42.8,0.02858
52,31.0,31,27.92,0.7705488893118823,0,1460.0,314.60946745562126,314.60946745562126,42.8,0.0292
53,17.0,17,27.96,0.7666961448653229,0,1477.0,310.9448202207191,310.9448202207191,42.8,0.02954
54,45.0,45,28.62,0.7628626641409962,0,1522.0,310.52126200274347,310.52126200274347,42.8,0.03044
55,17.0,17,27.88,0.7590483508202912,0,1539.0,307.1087603305785,307.1087603305785,42.8,0.03078
56,43.0,43,28.18,0.7552531090661897,0,1582.0,305.58035714285717,305.58035714285717,42.8,0.03164
57,69.0,69,29.32,0.7514768435208588,0,1651.0,328.8408741151123,328.8408741151123,42.8,0.03302
58,61.0,61,30.08,0.7477194593032545,0,1712.0,340.5600475624256,340.5600475624256,42.8,0.03424
59,19.0,19,30.04,0.7439808620067382,0,1731.0,336.6308532031025,336.6308532031025,42.8,0.03462
60,59.0,59,30.64,0.7402609576967045,0,1790.0,345.43888888888887,345.43888888888887,43.7,0.0358
61,65.0,65,31.58,0.736559652908221,0,1855.0,359.71728030099445,359.71728030099445,43.7,0.0371
